district,district_hindi,district_nukta_hindi,district_english,district_transliteration,block,block_hindi,block_nukta_hindi,block_english,block_transliteration,gram_panchayat,gram_panchayat_english,village,village_english,composite_key,source_file,source_row_index
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Ramhepur (Gh.),Ramhepur (Gh.),Jhirwan,Jhirwan,mungelii|lormii|ramhepur gh|jhirwan,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,593667
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Ramhepur (Gh.),Ramhepur (Gh.),Ramhepur Jhirwan,Ramhepur Jhirwan,mungelii|lormii|ramhepur gh|ramhepur jhirwan,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,593672
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Gadatola,Gadatola,Govindpur,Govindpur,mungelii|lormii|gadatola|govindpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,593698
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Dhourabhata,Dhourabhata,Dhaurabhath,Dhaurabhath,mungelii|lormii|dhourabhata|dhaurabhath,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,593722
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Chandli,Chandli,Barbaspur,Barbaspur,mungelii|lormii|chandli|barbaspur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,593790
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Chandli,Chandli,Chandli(Mahant),Chandli(Mahant),mungelii|lormii|chandli|chandli mahant,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,593814
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Karankapa,Karankapa,Karankapa,Karankapa,mungelii|lormii|karankapa|karankapa,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,593985
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Daukapa,Daukapa,Daukapa,Daukapa,mungelii|lormii|daukapa|daukapa,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594162
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Muchhel,Muchhel,Muchhel,Muchhel,mungelii|lormii|muchhel|muchhel,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594362
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Muchhel,Muchhel,Siltara,Siltara,mungelii|lormii|muchhel|siltara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,594516
