district,district_hindi,district_nukta_hindi,district_english,district_transliteration,block,block_hindi,block_nukta_hindi,block_english,block_transliteration,gram_panchayat,gram_panchayat_english,village,village_english,composite_key,source_file,source_row_index
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Hadahuli,Hadahuli,Bharampuri,Bharampuri,bemetra|saja|hadahuli|bharampuri,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203564
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Cheejgaon,Cheejgaon,Paleni,Paleni,bemetra|saja|cheejgaon|paleni,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203578
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Bhanora,Bhanora,Bhanora,Bhanora,bemetra|saja|bhanora|bhanora,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203600
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Cheejgaon,Cheejgaon,Chichgaon,Chichgaon,bemetra|saja|cheejgaon|chichgaon,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203639
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Lalpur,Lalpur,Lalpur (Saja),Lalpur (Saja),bemetra|saja|lalpur|lalpur saja,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203663
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Tedhi,Tedhi,Tedhi,Tedhi,bemetra|saja|tedhi|tedhi,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203665
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Tedhi,Tedhi,Dhekapur,Dhekapur,bemetra|saja|tedhi|dhekapur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203672
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Tedhi,Tedhi,Kanpa (Beltorai),Kanpa (Beltorai),bemetra|saja|tedhi|kanpa beltorai,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203673
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Beltara,Beltara,Beltara,Beltara,bemetra|saja|beltara|beltara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203695
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Thelka,Thelka,Thelka,Thelka,bemetra|saja|thelka|thelka,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203815
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Belgaon,Belgaon,Uraiha,Uraiha,bemetra|saja|belgaon|uraiha,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203833
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,साजा,साजा,साजा,saja,saja,Belgaon,Belgaon,Belgaon,Belgaon,bemetra|saja|belgaon|belgaon,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203847
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,बेरला,बेरला,बेरला,berla,berla,Khamhariya M,Khamhariya M,Khamhariya,Khamhariya,bemetra|berla|khamhariya m|khamhariya,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,203889
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,बेरला,बेरला,बेरला,berla,berla,Ghotmarra,Ghotmarra,Chotmarra,Chotmarra,bemetra|berla|ghotmarra|chotmarra,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,204037
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,बेरला,बेरला,बेरला,berla,berla,Devarbija,Devarbija,Deorbeeja,Deorbeeja,bemetra|berla|devarbija|deorbeeja,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,204053
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,बेरला,बेरला,बेरला,berla,berla,Ghotmarra,Ghotmarra,Ghotmarra,Ghotmarra,bemetra|berla|ghotmarra|ghotmarra,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,204189
बेमेतरा,बेमेतरा,बेमेतरा,bemetra,bemetra,बेरला,बेरला,बेरला,berla,berla,Ghotmarra,Ghotmarra,Hadgaon,Hadgaon,bemetra|berla|ghotmarra|hadgaon,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_2.xlsx,204231
